County,PercentageArmedShootings,PercentageArmedUnknownShootings,PercentageBodyCamOff,PercentageArmedGun,HispanicDemog,HispanicShooting,BlackShooting,BlackDemog,WhiteShooting,WhiteDemog
Dale County,100.00,0.00,100.00,100.00,0.00,6.10,0.00,19.70,100.00,70.20
Dallam County,100.00,0.00,100.00,100.00,0.00,42.90,0.00,2.00,100.00,52.60
Dallas County,100.00,0.00,0.00,100.00,0.00,1.00,100.00,69.50,0.00,28.50
Dallas County,100.00,0.00,100.00,100.00,0.00,2.70,0.00,41.30,100.00,54.10
Dallas County,0.00,100.00,100.00,0.00,0.00,1.80,0.00,0.30,100.00,95.10
Dallas County,89.74,16.67,90.48,71.79,21.62,39.30,35.14,23.10,37.84,31.10
Dane County,66.67,33.33,100.00,33.33,0.00,6.20,33.33,5.40,66.67,80.70
Danville County,50.00,50.00,50.00,50.00,0.00,3.40,100.00,49.40,0.00,44.80
Darlington County,100.00,0.00,66.67,66.67,0.00,2.00,33.33,41.20,66.67,55.30
Dauphin County,75.00,40.00,100.00,50.00,0.00,8.30,75.00,18.70,25.00,68.20
Davidson County,80.00,20.00,100.00,40.00,0.00,6.80,20.00,9.40,80.00,81.00
Davidson County,100.00,0.00,87.50,62.50,12.50,9.90,50.00,28.10,37.50,56.90
Davie County,100.00,0.00,100.00,100.00,0.00,6.40,0.00,6.50,100.00,84.90
Daviess County,100.00,0.00,100.00,75.00,0.00,2.80,25.00,5.00,50.00,89.50
Davis County,100.00,12.50,75.00,71.43,14.29,9.10,0.00,1.40,85.71,84.70
Davison County,100.00,0.00,100.00,100.00,0.00,2.40,0.00,1.00,100.00,92.20
De Baca County,100.00,0.00,100.00,100.00,100.00,40.80,0.00,0.40,0.00,55.60
De Witt County,100.00,0.00,100.00,0.00,0.00,2.30,0.00,0.80,100.00,95.10
DeKalb County,100.00,9.09,100.00,100.00,11.11,8.90,44.44,54.80,44.44,29.90
DeKalb County,100.00,0.00,100.00,100.00,0.00,2.00,0.00,11.60,100.00,84.80
DeKalb County,100.00,0.00,100.00,100.00,0.00,7.50,0.00,2.10,100.00,89.40
DeSoto County,100.00,0.00,100.00,100.00,20.00,4.90,40.00,24.90,40.00,67.50
Deaf Smith County,100.00,0.00,100.00,100.00,100.00,70.60,0.00,2.00,0.00,27.00
Dearborn County,100.00,0.00,100.00,0.00,0.00,1.20,0.00,0.70,100.00,96.40
Decatur County,100.00,0.00,100.00,100.00,0.00,5.60,100.00,41.60,0.00,51.60
Decatur County,100.00,0.00,0.00,100.00,0.00,2.90,0.00,3.00,100.00,92.10
Defiance County,100.00,0.00,100.00,0.00,0.00,9.60,100.00,2.20,0.00,86.70
Del Norte County,100.00,0.00,100.00,0.00,0.00,19.00,0.00,3.50,0.00,63.30
Delaware County,100.00,20.00,40.00,25.00,0.00,2.10,0.00,7.10,100.00,87.40
Delaware County,100.00,0.00,100.00,100.00,0.00,2.40,0.00,3.50,100.00,86.90
Delaware County,100.00,0.00,75.00,75.00,0.00,3.50,0.00,0.50,75.00,64.70
Delaware County,100.00,20.00,100.00,75.00,0.00,3.50,50.00,21.20,50.00,68.60
Denton County,100.00,0.00,70.00,50.00,11.11,19.00,44.44,9.60,44.44,61.70
Denver County,88.24,16.67,94.44,58.82,37.50,30.80,12.50,10.20,28.12,53.40
Des Moines County,66.67,33.33,33.33,66.67,0.00,2.90,33.33,5.90,66.67,88.00
Deschutes County,100.00,0.00,100.00,0.00,0.00,7.80,0.00,0.50,100.00,87.90
Deuel County,100.00,0.00,100.00,100.00,0.00,5.50,0.00,0.30,100.00,92.20
Dewey County,100.00,0.00,100.00,100.00,0.00,6.10,0.00,0.50,0.00,84.10
Dickson County,0.00,100.00,100.00,0.00,0.00,3.10,0.00,4.40,100.00,90.10
Dillon County,100.00,50.00,100.00,0.00,0.00,2.50,0.00,46.60,100.00,46.80
District of Columbia County,87.50,12.50,75.00,50.00,0.00,10.40,87.50,49.00,12.50,35.80
Dixie County,100.00,0.00,100.00,100.00,0.00,3.70,0.00,9.10,100.00,85.10
Dodge County,100.00,0.00,100.00,100.00,0.00,4.60,0.00,3.10,100.00,90.60
Dorchester County,100.00,0.00,100.00,100.00,0.00,4.90,100.00,25.90,0.00,64.90
Dougherty County,100.00,0.00,100.00,0.00,0.00,2.60,100.00,68.40,0.00,27.30
Douglas County,100.00,0.00,33.33,100.00,25.00,8.30,0.00,1.40,75.00,83.90
Douglas County,100.00,0.00,66.67,66.67,0.00,8.90,33.33,43.50,66.67,44.90
Douglas County,100.00,0.00,100.00,100.00,0.00,7.30,0.00,0.60,100.00,90.40
Douglas County,100.00,0.00,100.00,100.00,0.00,5.80,0.00,4.60,100.00,79.70
Douglas County,100.00,0.00,50.00,50.00,0.00,1.40,0.00,0.50,100.00,96.50
Douglas County,90.91,16.67,75.00,54.55,0.00,12.00,41.67,11.60,58.33,70.90
Douglas County,100.00,0.00,100.00,100.00,0.00,12.20,0.00,0.90,100.00,81.30
Douglas County,0.00,100.00,100.00,0.00,0.00,5.20,0.00,0.40,100.00,88.70
Douglas County,0.00,100.00,100.00,0.00,0.00,30.40,0.00,0.80,100.00,65.80
Doña Ana County,100.00,6.67,80.00,71.43,71.43,66.80,0.00,2.20,28.57,28.80
DuPage County,100.00,0.00,100.00,0.00,50.00,14.10,50.00,5.20,0.00,68.10
Duchesne County,100.00,0.00,0.00,100.00,0.00,8.10,0.00,0.60,100.00,85.20
Duplin County,100.00,0.00,100.00,0.00,0.00,21.60,0.00,26.00,100.00,51.80
Durham County,100.00,0.00,66.67,83.33,0.00,13.40,83.33,38.60,16.67,42.20
Dutchess County,100.00,0.00,100.00,0.00,50.00,11.60,0.00,11.10,50.00,72.70
Duval County,91.18,8.82,82.35,58.82,11.76,8.60,52.94,30.10,35.29,55.00
Dyer County,100.00,0.00,100.00,100.00,0.00,3.10,0.00,14.60,100.00,80.30
Eagle County,100.00,0.00,100.00,100.00,0.00,30.00,100.00,1.00,0.00,67.10
East Baton Rouge Parish County,81.82,30.77,69.23,72.73,0.00,3.90,100.00,46.20,0.00,45.70
East Feliciana Parish County,50.00,50.00,100.00,50.00,0.00,1.40,100.00,44.10,0.00,52.70
Eastland County,100.00,0.00,100.00,100.00,100.00,16.00,0.00,2.50,0.00,79.60
Eaton County,0.00,100.00,100.00,0.00,0.00,5.30,0.00,7.00,100.00,83.60
Eau Claire County,83.33,16.67,100.00,16.67,0.00,2.30,0.00,1.00,100.00,91.00
Ector County,100.00,9.09,100.00,90.00,40.00,57.50,0.00,4.90,60.00,36.00
Eddy County,100.00,20.00,100.00,100.00,50.00,46.40,0.00,1.90,50.00,49.60
Edgecombe County,100.00,0.00,100.00,50.00,50.00,4.20,50.00,57.70,0.00,37.00
Effingham County,100.00,50.00,100.00,100.00,0.00,3.70,0.00,14.00,100.00,79.60
El Dorado County,50.00,50.00,100.00,50.00,0.00,12.70,50.00,1.00,50.00,78.70
El Paso County,100.00,0.00,85.00,75.00,20.00,16.30,15.00,7.00,65.00,70.30
El Paso County,94.74,10.00,100.00,68.42,53.33,81.20,13.33,4.00,33.33,13.30
Elbert County,0.00,100.00,100.00,0.00,100.00,5.50,0.00,29.40,0.00,63.70
Elkhart County,100.00,0.00,100.00,100.00,33.33,15.10,66.67,6.20,0.00,75.90
Elko County,100.00,0.00,66.67,66.67,0.00,24.20,0.00,1.50,100.00,67.10
Ellis County,0.00,100.00,100.00,0.00,0.00,5.70,0.00,1.00,100.00,90.30
Ellis County,100.00,0.00,100.00,100.00,33.33,25.10,33.33,9.70,33.33,63.40
Elmore County,100.00,0.00,100.00,100.00,0.00,2.70,100.00,21.20,0.00,73.70
Elmore County,100.00,0.00,100.00,33.33,0.00,16.20,0.00,3.20,100.00,74.10
Emery County,100.00,0.00,100.00,100.00,0.00,6.30,0.00,0.50,100.00,91.40
Emporia County,100.00,0.00,100.00,100.00,0.00,5.50,100.00,63.70,0.00,29.20
Erie County,100.00,0.00,75.00,75.00,50.00,5.10,25.00,13.90,25.00,76.40
Erie County,100.00,50.00,100.00,100.00,0.00,3.80,0.00,7.60,100.00,85.50
Escambia County,100.00,0.00,100.00,100.00,0.00,2.10,100.00,32.40,0.00,60.60
Escambia County,100.00,0.00,100.00,75.00,0.00,5.50,80.00,22.80,20.00,65.50
Essex County,100.00,28.57,100.00,60.00,14.29,18.60,14.29,6.30,71.43,73.30
Essex County,100.00,25.00,91.67,66.67,0.00,22.10,100.00,41.90,0.00,32.20
Etowah County,100.00,0.00,100.00,100.00,0.00,3.70,0.00,15.50,100.00,78.40
Evangeline Parish County,50.00,50.00,100.00,50.00,0.00,2.50,50.00,28.40,50.00,67.70
Evans County,100.00,0.00,100.00,0.00,0.00,12.00,100.00,31.20,0.00,56.20
Fairbanks North Star Borough County,100.00,0.00,83.33,91.67,0.00,7.70,0.00,5.40,63.64,71.30
Fairfax County,50.00,50.00,100.00,0.00,0.00,16.40,0.00,9.90,50.00,52.14
Fairfield County,100.00,20.00,80.00,0.00,20.00,18.70,20.00,12.20,60.00,63.80
Fairfield County,100.00,0.00,0.00,0.00,0.00,2.10,0.00,7.10,100.00,87.60
Falls Church County,100.00,0.00,100.00,0.00,100.00,9.50,0.00,5.30,0.00,72.30
Fayette County,100.00,0.00,100.00,100.00,0.00,7.10,33.33,22.00,66.67,65.00
Fayette County,100.00,0.00,100.00,100.00,0.00,1.90,50.00,2.50,50.00,93.20
Fayette County,100.00,0.00,100.00,100.00,0.00,1.10,0.00,4.80,100.00,92.30
Fayette County,100.00,0.00,100.00,33.33,0.00,2.50,33.33,27.50,66.67,68.40
Fayette County,100.00,0.00,100.00,50.00,0.00,1.10,0.00,4.70,100.00,92.50
Fentress County,100.00,0.00,100.00,0.00,0.00,1.30,0.00,0.40,100.00,96.90
Fergus County,100.00,0.00,100.00,100.00,0.00,2.40,0.00,0.50,100.00,93.90
Fillmore County,100.00,0.00,100.00,0.00,0.00,1.20,0.00,0.40,100.00,97.20
Finney County,100.00,0.00,100.00,0.00,100.00,48.20,0.00,3.30,0.00,43.70
Flathead County,100.00,0.00,100.00,66.67,0.00,2.70,0.00,0.40,100.00,93.00
Florence County,100.00,0.00,100.00,100.00,0.00,2.40,75.00,42.20,25.00,52.90
Floyd County,100.00,0.00,100.00,100.00,0.00,10.30,0.00,14.80,100.00,72.30
Floyd County,100.00,0.00,100.00,100.00,0.00,2.90,0.00,5.50,100.00,88.70
Foard County,0.00,100.00,100.00,0.00,0.00,18.70,0.00,5.30,100.00,74.20
Fond du Lac County,100.00,0.00,100.00,100.00,0.00,4.90,0.00,1.60,100.00,90.80
Forest County,50.00,50.00,100.00,50.00,0.00,2.00,0.00,1.00,50.00,80.50
Forrest County,75.00,25.00,100.00,50.00,0.00,3.20,75.00,37.00,25.00,57.50
Forsyth County,100.00,0.00,100.00,66.67,0.00,9.70,0.00,3.50,100.00,76.40
Forsyth County,100.00,0.00,100.00,100.00,0.00,12.60,100.00,27.10,0.00,57.70
Fort Bend County,100.00,0.00,100.00,80.00,0.00,24.00,60.00,21.10,40.00,35.10
Franklin Parish County,0.00,100.00,100.00,0.00,0.00,1.40,0.00,32.00,100.00,65.50
Franklin County,100.00,0.00,100.00,50.00,0.00,3.00,0.00,0.90,100.00,92.50
Franklin County,100.00,0.00,100.00,100.00,0.00,4.30,0.00,9.60,0.00,83.80
Franklin County,100.00,0.00,100.00,0.00,100.00,6.90,0.00,0.30,0.00,91.10
Franklin County,100.00,0.00,100.00,100.00,100.00,1.60,0.00,0.50,0.00,96.10
Franklin County,100.00,0.00,100.00,100.00,0.00,1.10,0.00,0.40,100.00,97.10
Franklin County,100.00,50.00,100.00,100.00,0.00,1.70,0.00,1.00,100.00,95.30
Franklin County,100.00,0.00,100.00,100.00,0.00,8.00,0.00,26.80,100.00,63.50
Franklin County,100.00,0.00,100.00,100.00,0.00,3.30,0.00,6.40,100.00,81.60
Franklin County,94.44,8.11,94.59,66.67,0.00,5.10,66.67,22.20,30.56,65.70
Franklin County,100.00,0.00,100.00,0.00,0.00,5.00,0.00,3.90,0.00,89.00
Franklin County,100.00,0.00,66.67,33.33,0.00,2.80,0.00,5.20,100.00,89.20
Franklin County,75.00,25.00,100.00,50.00,75.00,51.90,25.00,2.80,0.00,42.10
Frederick County,100.00,0.00,100.00,66.67,33.33,8.40,33.33,9.40,33.33,75.70
Fredericksburg County,0.00,100.00,0.00,0.00,0.00,10.90,0.00,24.10,100.00,60.00
Freeborn County,100.00,0.00,100.00,0.00,0.00,9.50,0.00,1.10,100.00,87.00
Freestone County,0.00,100.00,100.00,0.00,100.00,14.80,0.00,16.50,0.00,67.30
Fremont County,100.00,0.00,100.00,0.00,0.00,6.70,0.00,0.70,0.00,70.30
Fresno County,88.46,14.81,51.85,26.92,59.26,51.90,3.70,5.90,33.33,30.90
Frio County,100.00,0.00,0.00,100.00,100.00,77.80,0.00,3.90,0.00,16.20
Fulton County,87.10,12.90,93.55,45.16,9.68,7.60,83.87,44.30,3.23,40.50
Fulton County,100.00,0.00,100.00,0.00,0.00,2.70,0.00,3.90,100.00,92.20
Fulton County,100.00,0.00,100.00,0.00,0.00,1.50,0.00,24.30,100.00,71.30
Fulton County,100.00,0.00,100.00,100.00,0.00,2.80,0.00,2.00,100.00,93.30
Fulton County,100.00,0.00,100.00,100.00,0.00,1.20,0.00,1.20,100.00,96.40
Gadsden County,0.00,100.00,100.00,0.00,0.00,10.50,0.00,55.20,0.00,33.20
Gaines County,100.00,0.00,100.00,0.00,0.00,39.50,0.00,2.20,100.00,57.40
Gallatin County,100.00,0.00,100.00,100.00,0.00,3.10,0.00,0.40,100.00,92.40
Galveston County,90.00,10.00,80.00,30.00,20.00,23.70,10.00,13.60,70.00,58.10
Garfield County,100.00,0.00,100.00,66.67,0.00,28.10,0.00,1.20,100.00,68.80
Garfield County,100.00,0.00,100.00,0.00,0.00,11.40,0.00,3.40,100.00,76.30
Garland County,100.00,0.00,100.00,100.00,0.00,5.30,0.00,8.50,100.00,82.90
Garrard County,100.00,0.00,100.00,100.00,0.00,2.30,0.00,2.20,100.00,94.10
Gaston County,100.00,14.29,100.00,83.33,0.00,6.40,28.57,16.10,71.43,74.60
Geary County,100.00,0.00,100.00,100.00,0.00,15.00,0.00,18.80,100.00,58.10
Genesee County,100.00,33.33,100.00,100.00,0.00,3.20,66.67,20.60,33.33,72.60
Genesee County,100.00,0.00,0.00,100.00,0.00,3.00,0.00,3.20,100.00,90.90
George County,0.00,100.00,100.00,0.00,0.00,2.20,0.00,8.50,100.00,87.80
Gibson County,100.00,0.00,100.00,100.00,0.00,1.60,0.00,2.10,100.00,94.10
Gibson County,100.00,50.00,100.00,0.00,0.00,2.50,0.00,18.60,100.00,77.30
Gila County,100.00,0.00,100.00,0.00,0.00,18.80,0.00,0.90,100.00,63.20
Giles County,100.00,0.00,100.00,0.00,0.00,1.60,0.00,1.60,100.00,95.20
Gladwin County,100.00,0.00,100.00,100.00,0.00,1.30,0.00,0.50,100.00,96.50
Gloucester County,100.00,0.00,100.00,50.00,0.00,5.70,100.00,10.80,0.00,79.40
Glynn County,100.00,0.00,100.00,100.00,0.00,6.50,100.00,26.50,0.00,64.10
Gonzales County,100.00,0.00,100.00,100.00,0.00,49.40,100.00,7.60,0.00,42.90
Goochland County,100.00,0.00,100.00,100.00,0.00,2.40,100.00,17.70,0.00,77.30
Gooding County,100.00,0.00,100.00,100.00,0.00,28.60,0.00,0.50,100.00,68.60
Gordon County,100.00,0.00,100.00,100.00,0.00,15.20,100.00,4.40,0.00,78.20
Grady County,80.00,20.00,60.00,40.00,25.00,5.30,0.00,2.60,75.00,82.10
Grafton County,50.00,66.67,33.33,0.00,0.00,2.20,0.00,1.10,100.00,91.20
Graham County,100.00,0.00,100.00,100.00,0.00,32.10,0.00,2.10,100.00,51.40
Grand Forks County,100.00,0.00,100.00,100.00,0.00,3.80,0.00,3.50,50.00,85.70
Granite County,100.00,0.00,100.00,0.00,0.00,2.10,0.00,0.40,100.00,94.60
Grant County,100.00,0.00,100.00,0.00,0.00,2.60,100.00,2.80,0.00,92.70
Grant County,100.00,0.00,100.00,0.00,0.00,4.00,0.00,7.30,100.00,85.60
Grant County,100.00,0.00,100.00,100.00,0.00,49.60,0.00,1.20,0.00,47.00
Grant County,100.00,0.00,100.00,100.00,100.00,39.90,0.00,1.80,0.00,55.70
Grant County,100.00,0.00,100.00,0.00,0.00,1.40,0.00,1.30,100.00,95.50
Grays Harbor County,100.00,0.00,100.00,50.00,0.00,9.80,0.00,1.40,100.00,79.80
Grayson County,100.00,0.00,100.00,66.67,0.00,1.40,0.00,1.20,100.00,95.90
Grayson County,100.00,33.33,100.00,0.00,0.00,12.60,33.33,6.20,66.67,76.80
Grayson County,100.00,0.00,100.00,100.00,0.00,3.00,0.00,2.30,100.00,93.40
Green County,100.00,0.00,100.00,100.00,100.00,2.90,0.00,0.60,0.00,94.60
Greene County,0.00,100.00,100.00,0.00,0.00,6.30,100.00,36.60,0.00,56.00
Greene County,90.91,16.67,100.00,72.73,0.00,3.50,9.09,3.20,90.91,88.40
Greene County,100.00,0.00,100.00,0.00,0.00,2.70,0.00,7.30,100.00,84.40
Greene County,100.00,0.00,66.67,100.00,0.00,2.80,33.33,2.20,66.67,93.20
Greenlee County,100.00,0.00,100.00,100.00,0.00,46.60,0.00,1.80,100.00,47.80
Greenup County,50.00,50.00,100.00,50.00,0.00,1.10,0.00,1.00,100.00,96.20
Greenville County,100.00,0.00,76.92,84.62,0.00,8.80,38.46,18.50,61.54,69.30
Greenwood County,100.00,0.00,100.00,100.00,0.00,5.80,100.00,32.10,0.00,60.40
Gregg County,66.67,33.33,83.33,50.00,0.00,18.00,33.33,20.50,66.67,58.80
Grenada County,100.00,0.00,100.00,100.00,0.00,1.20,0.00,42.40,100.00,55.20
Guadalupe County,75.00,25.00,75.00,50.00,25.00,37.00,0.00,7.90,75.00,52.20
Guernsey County,100.00,0.00,100.00,100.00,0.00,1.00,0.00,1.60,100.00,94.90
Guilford County,100.00,0.00,75.00,100.00,0.00,7.60,57.14,34.00,42.86,52.30
Gulf County,100.00,0.00,100.00,100.00,0.00,5.00,0.00,19.10,100.00,73.40
Gunnison County,100.00,0.00,100.00,100.00,0.00,9.30,0.00,0.50,100.00,87.50
Guthrie County,100.00,0.00,100.00,0.00,0.00,2.30,0.00,0.30,100.00,95.80
Gwinnett County,100.00,0.00,100.00,50.00,0.00,20.50,71.43,27.00,28.57,40.60
Habersham County,100.00,0.00,100.00,100.00,0.00,13.60,0.00,4.00,100.00,78.70
Hale County,100.00,0.00,100.00,100.00,100.00,58.20,0.00,5.90,0.00,35.20
Hall County,83.33,16.67,83.33,66.67,60.00,27.50,0.00,8.10,40.00,61.90
Hall County,100.00,0.00,100.00,0.00,100.00,25.90,0.00,2.70,0.00,69.40
Hamblen County,100.00,0.00,100.00,50.00,0.00,10.90,0.00,4.50,100.00,82.40
Hamilton County,100.00,0.00,100.00,100.00,0.00,5.40,100.00,0.80,0.00,90.60
Hamilton County,100.00,0.00,33.33,100.00,33.33,3.80,0.00,4.10,66.67,84.90
Hamilton County,100.00,0.00,100.00,0.00,0.00,1.40,0.00,1.00,100.00,95.60
Hamilton County,100.00,0.00,87.50,50.00,0.00,2.90,85.71,26.10,14.29,66.70
Hamilton County,94.12,5.88,94.12,58.82,6.67,5.10,6.67,19.80,80.00,71.50
Hampden County,100.00,0.00,100.00,0.00,0.00,23.20,0.00,10.70,100.00,65.00
Hampshire County,100.00,0.00,100.00,100.00,0.00,1.30,0.00,1.30,100.00,95.90
Hampton County,0.00,100.00,100.00,0.00,0.00,5.30,100.00,49.80,0.00,40.10
Hancock County,100.00,0.00,100.00,100.00,0.00,3.60,0.00,8.40,100.00,84.70
Hancock County,0.00,100.00,100.00,0.00,0.00,5.00,0.00,1.80,100.00,90.00
Hancock County,100.00,0.00,100.00,100.00,0.00,1.20,100.00,2.60,0.00,94.50
Haralson County,100.00,0.00,100.00,100.00,0.00,1.40,100.00,5.10,0.00,91.10
Hardeman County,100.00,0.00,100.00,0.00,0.00,22.80,0.00,6.10,100.00,68.90
Hardin County,100.00,0.00,100.00,66.67,0.00,5.70,33.33,12.80,66.67,76.20
Hardin County,100.00,0.00,100.00,100.00,0.00,2.00,0.00,3.70,100.00,92.10
Hardin County,100.00,0.00,100.00,50.00,0.00,5.60,0.00,5.70,100.00,86.80
Harford County,66.67,33.33,100.00,66.67,0.00,4.20,0.00,13.40,100.00,77.40
Harlan County,100.00,0.00,100.00,100.00,0.00,0.80,0.00,2.30,100.00,95.10
Harney County,100.00,0.00,100.00,100.00,0.00,4.90,0.00,0.50,100.00,87.80
Harris County,93.75,11.76,88.24,70.00,32.86,41.80,44.29,19.50,20.00,31.40
Harrison County,100.00,0.00,100.00,100.00,0.00,1.80,0.00,0.60,100.00,96.00
Harrison County,88.89,27.27,100.00,44.44,0.00,5.40,40.00,24.00,60.00,65.30
Harrison County,100.00,0.00,100.00,0.00,0.00,12.30,100.00,22.50,0.00,63.20
Harrison County,100.00,0.00,75.00,75.00,0.00,1.60,25.00,1.70,75.00,94.30
Harrisonburg County,100.00,0.00,50.00,50.00,0.00,18.60,0.00,8.40,100.00,68.10
Hart County,100.00,0.00,100.00,100.00,0.00,1.70,0.00,4.80,0.00,91.80
Hartford County,71.43,37.50,75.00,57.14,50.00,17.00,25.00,15.20,25.00,63.40
Harvey County,100.00,33.33,66.67,100.00,33.33,11.50,66.67,1.90,0.00,83.60
Hawaii County,100.00,28.57,100.00,60.00,0.00,12.30,0.00,0.90,14.29,30.60
Hawkins County,100.00,0.00,100.00,100.00,0.00,1.40,50.00,1.50,50.00,95.30
Hays County,100.00,0.00,100.00,50.00,0.00,37.00,0.00,4.10,100.00,56.20
Haywood County,100.00,0.00,100.00,100.00,0.00,3.70,0.00,1.20,100.00,93.20
Heard County,100.00,0.00,100.00,100.00,0.00,2.50,0.00,10.70,100.00,84.40
Henderson County,100.00,0.00,100.00,100.00,0.00,9.90,25.00,3.40,75.00,83.90
Henderson County,0.00,100.00,100.00,0.00,0.00,2.30,100.00,8.10,0.00,87.40
Henderson County,100.00,0.00,100.00,100.00,0.00,12.00,0.00,6.70,0.00,79.10
Hendricks County,100.00,0.00,100.00,0.00,0.00,3.50,0.00,6.00,100.00,86.40
Hennepin County,75.00,29.41,52.94,43.75,11.76,6.80,41.18,12.60,41.18,70.30
Henry County,100.00,0.00,100.00,100.00,0.00,2.60,100.00,27.30,0.00,68.40
Henry County,100.00,0.00,100.00,100.00,0.00,6.40,50.00,40.60,50.00,48.60
Henry County,100.00,0.00,100.00,100.00,0.00,5.40,0.00,1.90,100.00,91.00
Henry County,100.00,0.00,100.00,75.00,0.00,1.60,0.00,2.70,100.00,93.90
Henry County,100.00,0.00,100.00,100.00,0.00,2.10,100.00,1.40,0.00,93.90
Henry County,100.00,0.00,100.00,100.00,0.00,5.40,100.00,22.00,0.00,70.50
Hernando County,100.00,33.33,100.00,75.00,0.00,11.60,0.00,5.70,100.00,80.20
Hertford County,100.00,0.00,100.00,100.00,0.00,3.80,0.00,59.80,100.00,33.90
Hickman County,100.00,0.00,100.00,0.00,0.00,2.10,0.00,5.10,100.00,90.80
Hidalgo County,100.00,18.18,100.00,66.67,88.89,91.20,0.00,0.90,11.11,7.10
Highlands County,100.00,0.00,100.00,33.33,0.00,18.40,0.00,10.60,100.00,68.70
Hillsborough County,85.71,18.18,90.91,38.10,22.73,26.50,31.82,17.50,31.82,51.60
Hillsborough County,100.00,0.00,100.00,25.00,0.00,6.00,0.00,2.60,100.00,86.40
Hinds County,100.00,14.29,100.00,50.00,0.00,1.60,83.33,70.80,0.00,26.20
Hockley County,100.00,0.00,100.00,0.00,100.00,46.70,0.00,4.40,0.00,48.00
Holmes County,100.00,50.00,50.00,0.00,0.00,2.70,0.00,6.80,100.00,87.00
Honolulu County,86.67,27.78,88.89,26.67,5.56,9.50,0.00,3.10,11.11,19.60
Hopewell County,100.00,0.00,50.00,50.00,0.00,7.20,50.00,39.40,50.00,50.40
Hopkins County,100.00,0.00,100.00,100.00,0.00,1.80,0.00,6.70,100.00,88.90
Hopkins County,100.00,0.00,100.00,0.00,0.00,16.20,0.00,7.50,100.00,74.20
Horry County,100.00,11.11,77.78,100.00,0.00,6.10,12.50,13.70,87.50,77.20
Houston County,100.00,0.00,100.00,50.00,0.00,6.60,0.00,30.30,100.00,58.30
Howard County,100.00,0.00,100.00,50.00,0.00,3.10,0.00,7.30,100.00,86.00
Howard County,66.67,33.33,100.00,0.00,33.33,6.40,33.33,18.60,33.33,55.40
Hudson County,100.00,0.00,100.00,75.00,25.00,43.10,50.00,15.10,25.00,29.30
Hudspeth County,100.00,0.00,100.00,0.00,0.00,78.20,100.00,1.80,0.00,19.10
Hughes County,0.00,100.00,100.00,0.00,0.00,4.70,0.00,5.80,0.00,64.50
Humboldt County,100.00,0.00,75.00,100.00,0.00,10.80,25.00,1.40,75.00,75.50
Humboldt County,100.00,0.00,100.00,100.00,0.00,4.00,0.00,0.70,100.00,94.10
Humphreys County,100.00,0.00,100.00,100.00,0.00,2.00,0.00,2.70,100.00,93.20
Hunt County,50.00,50.00,50.00,0.00,0.00,14.90,100.00,8.40,0.00,73.40
Huntingdon County,100.00,0.00,100.00,100.00,0.00,1.80,0.00,5.60,100.00,91.20
Huntington County,100.00,0.00,100.00,50.00,0.00,2.10,0.00,0.60,100.00,95.40
Huron County,100.00,0.00,100.00,100.00,0.00,2.10,0.00,0.50,0.00,95.70
Hutchinson County,100.00,0.00,100.00,100.00,100.00,22.30,0.00,3.00,0.00,71.40
Iberia Parish County,100.00,0.00,100.00,0.00,0.00,3.90,0.00,32.20,50.00,59.50
Iberville Parish County,100.00,0.00,100.00,100.00,0.00,2.60,0.00,49.00,100.00,47.60
Imperial County,100.00,0.00,100.00,0.00,100.00,82.30,0.00,3.50,0.00,12.30
Independence County,100.00,0.00,100.00,100.00,0.00,5.90,0.00,2.30,0.00,89.30
Indian River County,75.00,25.00,100.00,25.00,0.00,11.90,25.00,9.40,75.00,76.30
Ingham County,100.00,0.00,50.00,100.00,0.00,7.60,50.00,12.20,50.00,71.10
Iowa County,100.00,0.00,100.00,100.00,0.00,2.50,0.00,0.70,100.00,95.70
Iredell County,100.00,0.00,100.00,50.00,0.00,7.30,0.00,12.20,100.00,76.80
Iron County,100.00,0.00,100.00,100.00,0.00,8.30,0.00,0.70,100.00,86.30
Isanti County,100.00,0.00,100.00,100.00,0.00,1.80,0.00,0.80,0.00,94.50
Island County,100.00,0.00,100.00,100.00,0.00,7.10,0.00,2.90,100.00,80.60
Itasca County,100.00,0.00,100.00,100.00,0.00,1.30,0.00,0.40,100.00,92.10
Jackson County,100.00,0.00,100.00,0.00,0.00,2.90,0.00,3.60,100.00,89.40
Jackson County,100.00,0.00,100.00,50.00,0.00,4.80,0.00,27.00,100.00,65.70
Jackson County,0.00,100.00,100.00,0.00,0.00,6.70,0.00,7.20,100.00,82.70
Jackson County,100.00,0.00,100.00,100.00,0.00,6.40,0.00,1.00,100.00,90.10
Jackson County,100.00,0.00,100.00,0.00,0.00,0.70,0.00,0.30,100.00,98.10
Jackson County,100.00,0.00,100.00,100.00,50.00,3.40,50.00,8.30,0.00,85.00
Jackson County,94.87,9.76,100.00,76.92,8.11,8.80,48.65,24.00,40.54,62.90
Jackson County,80.00,20.00,80.00,40.00,0.00,5.50,40.00,22.10,60.00,68.50
Jackson County,100.00,0.00,100.00,0.00,0.00,1.00,0.00,0.70,100.00,96.20
Jackson County,100.00,0.00,83.33,83.33,0.00,12.00,0.00,0.80,100.00,82.10
Jackson County,100.00,0.00,0.00,100.00,0.00,3.30,0.00,2.20,50.00,86.30
