County,NumberOfShootings,PercentageArmedShootings,PercentageShootingsOnBlack,PercentageShootingsOnHispanic,PercentageShootingsOnWhite,PercentageShootingsOnNative,PercentageShootingsOnAsian,PercentageDemogIsBlack,PercentageDemogIsWhite,PercentageDemogIsHispanic,PercentageDemogIsNative,PercentageDemogIsAsian
Contra Costa County,18,94.44,35.29,29.41,29.41,0.00,5.88,9.60,45.60,25.20,1.00,16.40
Converse County,2,100.00,0.00,50.00,50.00,0.00,0.00,1.00,88.70,7.70,1.30,0.60
Cook County,1,100.00,100.00,0.00,0.00,0.00,0.00,27.80,64.40,6.10,0.40,0.80
Cook County,59,94.44,73.68,17.54,8.77,0.00,0.00,24.40,43.00,25.00,0.80,7.20
Cooke County,1,100.00,0.00,0.00,100.00,0.00,0.00,3.20,76.80,17.00,1.40,1.10
Coos County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.70,95.40,1.70,0.50,0.60
Coos County,2,100.00,0.00,0.00,100.00,0.00,0.00,0.60,85.90,6.00,2.90,1.20
Copiah County,1,100.00,100.00,0.00,0.00,0.00,0.00,51.40,44.90,2.80,0.20,0.40
Corson County,1,0.00,0.00,0.00,0.00,100.00,0.00,0.20,31.50,3.90,64.00,0.40
Covington County,1,100.00,0.00,0.00,100.00,0.00,0.00,13.00,83.10,1.60,0.60,0.50
Coweta County,1,100.00,100.00,0.00,0.00,0.00,0.00,18.00,71.90,6.70,0.40,1.90
Cowley County,1,100.00,0.00,0.00,100.00,0.00,0.00,3.00,80.50,10.20,2.40,1.90
Cowlitz County,7,100.00,16.67,16.67,66.67,0.00,0.00,0.90,84.70,8.40,1.90,1.60
Craig County,1,0.00,100.00,0.00,0.00,0.00,0.00,3.30,64.60,3.20,20.10,0.60
Craighead County,3,100.00,0.00,0.00,100.00,0.00,0.00,14.50,78.00,4.70,0.60,1.10
Craven County,1,100.00,0.00,0.00,100.00,0.00,0.00,21.70,66.30,7.10,0.60,2.60
Crawford County,2,100.00,0.00,0.00,100.00,0.00,0.00,1.60,85.60,6.70,2.50,1.60
Crawford County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.50,96.50,1.40,0.40,0.20
Crawford County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.50,95.80,1.80,0.50,0.40
Crawford County,1,100.00,0.00,0.00,100.00,0.00,0.00,1.00,95.90,1.50,0.20,0.50
Creek County,3,100.00,0.00,0.00,100.00,0.00,0.00,2.40,77.30,3.70,10.40,0.40
Crenshaw County,2,0.00,0.00,0.00,100.00,0.00,0.00,24.00,70.60,1.70,0.50,1.80
Crittenden County,5,100.00,80.00,0.00,20.00,0.00,0.00,51.80,44.10,2.30,0.40,0.70
Crockett County,2,100.00,50.00,0.00,50.00,0.00,0.00,13.70,75.20,9.70,0.50,0.30
Cullman County,1,100.00,0.00,0.00,100.00,0.00,0.00,1.40,92.10,4.40,0.60,0.50
Culpeper County,3,100.00,66.67,0.00,33.33,0.00,0.00,15.80,71.40,9.20,0.70,1.50
Cumberland County,3,100.00,0.00,0.00,100.00,0.00,0.00,2.80,94.50,1.10,0.10,0.20
Cumberland County,3,100.00,33.33,0.00,66.67,0.00,0.00,2.90,91.00,1.90,0.30,2.20
Cumberland County,9,100.00,62.50,0.00,37.50,0.00,0.00,37.60,45.20,11.00,1.80,2.70
Cumberland County,6,66.67,66.67,16.67,16.67,0.00,0.00,21.90,47.90,29.30,1.60,1.40
Cumberland County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.70,94.90,2.70,0.40,0.50
Curry County,1,100.00,0.00,100.00,0.00,0.00,0.00,7.00,50.30,39.70,2.10,1.70
Custer County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.50,95.30,2.60,0.50,0.30
Cuyahoga County,20,88.89,63.16,0.00,31.58,0.00,5.26,30.30,60.20,5.40,0.30,3.00
Dade County,1,100.00,0.00,0.00,0.00,0.00,0.00,0.50,94.30,1.80,0.90,0.30
Dakota County,6,100.00,0.00,0.00,66.67,0.00,16.67,5.70,80.50,6.60,0.50,4.90
Dakota County,1,100.00,0.00,100.00,0.00,0.00,0.00,4.30,51.80,37.40,3.80,3.50
Dale County,2,100.00,0.00,0.00,100.00,0.00,0.00,19.70,70.20,6.10,0.80,1.30
Dallam County,1,100.00,0.00,0.00,100.00,0.00,0.00,2.00,52.60,42.90,1.90,0.90
Dallas County,1,100.00,100.00,0.00,0.00,0.00,0.00,69.50,28.50,1.00,0.20,0.50
Dallas County,1,100.00,0.00,0.00,100.00,0.00,0.00,41.30,54.10,2.70,0.50,0.20
Dallas County,1,0.00,0.00,0.00,100.00,0.00,0.00,0.30,95.10,1.80,1.00,0.20
Dallas County,42,89.74,35.14,21.62,37.84,0.00,2.70,23.10,31.10,39.30,1.10,5.90
Dane County,3,66.67,33.33,0.00,66.67,0.00,0.00,5.40,80.70,6.20,0.50,5.60
Danville County,2,50.00,100.00,0.00,0.00,0.00,0.00,49.40,44.80,3.40,0.40,1.20
Darlington County,3,100.00,33.33,0.00,66.67,0.00,0.00,41.20,55.30,2.00,0.40,0.50
Dauphin County,5,75.00,75.00,0.00,25.00,0.00,0.00,18.70,68.20,8.30,0.40,3.70
Davidson County,5,80.00,20.00,0.00,80.00,0.00,0.00,9.40,81.00,6.80,0.80,1.40
Davidson County,8,100.00,50.00,12.50,37.50,0.00,0.00,28.10,56.90,9.90,0.50,3.40
Davie County,1,100.00,0.00,0.00,100.00,0.00,0.00,6.50,84.90,6.40,0.60,0.80
Daviess County,4,100.00,25.00,0.00,50.00,25.00,0.00,5.00,89.50,2.80,0.10,0.90
Davis County,8,100.00,0.00,14.29,85.71,0.00,0.00,1.40,84.70,9.10,0.70,2.00
Davison County,1,100.00,0.00,0.00,100.00,0.00,0.00,1.00,92.20,2.40,2.80,0.50
De Baca County,1,100.00,0.00,100.00,0.00,0.00,0.00,0.40,55.60,40.80,1.90,0.20
De Witt County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.80,95.10,2.30,0.20,0.50
DeKalb County,11,100.00,44.44,11.11,44.44,0.00,0.00,54.80,29.90,8.90,0.50,5.90
DeKalb County,1,100.00,0.00,0.00,100.00,0.00,0.00,11.60,84.80,2.00,0.50,0.30
DeKalb County,1,100.00,0.00,0.00,100.00,0.00,0.00,2.10,89.40,7.50,0.30,0.40
DeSoto County,6,100.00,40.00,20.00,40.00,0.00,0.00,24.90,67.50,4.90,0.30,1.40
Deaf Smith County,1,100.00,0.00,100.00,0.00,0.00,0.00,2.00,27.00,70.60,1.70,0.60
Dearborn County,2,100.00,0.00,0.00,100.00,0.00,0.00,0.70,96.40,1.20,0.20,0.50
Decatur County,1,100.00,100.00,0.00,0.00,0.00,0.00,41.60,51.60,5.60,0.80,0.70
Decatur County,1,100.00,0.00,0.00,100.00,0.00,0.00,3.00,92.10,2.90,0.30,0.60
Defiance County,1,100.00,100.00,0.00,0.00,0.00,0.00,2.20,86.70,9.60,0.40,0.40
Del Norte County,1,100.00,0.00,0.00,0.00,0.00,0.00,3.50,63.30,19.00,9.00,3.70
Delaware County,5,100.00,0.00,0.00,100.00,0.00,0.00,7.10,87.40,2.10,0.30,1.20
Delaware County,1,100.00,0.00,0.00,100.00,0.00,0.00,3.50,86.90,2.40,0.20,5.40
Delaware County,4,100.00,0.00,0.00,75.00,25.00,0.00,0.50,64.70,3.50,23.30,1.20
Delaware County,5,100.00,50.00,0.00,50.00,0.00,0.00,21.20,68.60,3.50,0.20,5.40
Denton County,10,100.00,44.44,11.11,44.44,0.00,0.00,9.60,61.70,19.00,0.90,7.70
Denver County,36,88.24,12.50,37.50,28.12,9.38,6.25,10.20,53.40,30.80,2.00,3.80
Des Moines County,3,66.67,33.33,0.00,66.67,0.00,0.00,5.90,88.00,2.90,0.30,0.90
Deschutes County,3,100.00,0.00,0.00,100.00,0.00,0.00,0.50,87.90,7.80,1.10,1.10
Deuel County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.30,92.20,5.50,1.30,0.40
Dewey County,1,100.00,0.00,0.00,0.00,0.00,0.00,0.50,84.10,6.10,5.90,0.90
Dickson County,1,0.00,0.00,0.00,100.00,0.00,0.00,4.40,90.10,3.10,0.50,0.60
Dillon County,2,100.00,0.00,0.00,100.00,0.00,0.00,46.60,46.80,2.50,2.80,0.30
District of Columbia County,16,87.50,87.50,0.00,12.50,0.00,0.00,49.00,35.80,10.40,0.60,4.00
Dixie County,1,100.00,0.00,0.00,100.00,0.00,0.00,9.10,85.10,3.70,0.40,0.40
Dodge County,1,100.00,0.00,0.00,100.00,0.00,0.00,3.10,90.60,4.60,0.50,0.60
Dorchester County,1,100.00,100.00,0.00,0.00,0.00,0.00,25.90,64.90,4.90,0.70,1.80
Dougherty County,1,100.00,100.00,0.00,0.00,0.00,0.00,68.40,27.30,2.60,0.30,1.00
Douglas County,6,100.00,0.00,25.00,75.00,0.00,0.00,1.40,83.90,8.30,0.50,4.30
Douglas County,3,100.00,33.33,0.00,66.67,0.00,0.00,43.50,44.90,8.90,0.40,1.70
Douglas County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.60,90.40,7.30,0.30,0.70
Douglas County,1,100.00,0.00,0.00,100.00,0.00,0.00,4.60,79.70,5.80,2.70,4.60
Douglas County,2,100.00,0.00,0.00,100.00,0.00,0.00,0.50,96.50,1.40,0.40,0.40
Douglas County,12,90.91,41.67,0.00,58.33,0.00,0.00,11.60,70.90,12.00,1.20,3.30
Douglas County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.90,81.30,12.20,2.30,1.70
Douglas County,1,0.00,0.00,0.00,100.00,0.00,0.00,0.40,88.70,5.20,2.00,1.10
Douglas County,1,0.00,0.00,0.00,100.00,0.00,0.00,0.80,65.80,30.40,2.00,1.10
Doña Ana County,15,100.00,0.00,71.43,28.57,0.00,0.00,2.20,28.80,66.80,2.30,1.30
DuPage County,3,100.00,50.00,50.00,0.00,0.00,0.00,5.20,68.10,14.10,0.40,11.40
Duchesne County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.60,85.20,8.10,4.60,0.50
Duplin County,1,100.00,0.00,0.00,100.00,0.00,0.00,26.00,51.80,21.60,1.40,0.60
Durham County,6,100.00,83.33,0.00,16.67,0.00,0.00,38.60,42.20,13.40,1.00,4.90
Dutchess County,2,100.00,0.00,50.00,50.00,0.00,0.00,11.10,72.70,11.60,0.50,3.90
Duval County,34,91.18,52.94,11.76,35.29,0.00,0.00,30.10,55.00,8.60,0.40,4.70
Dyer County,1,100.00,0.00,0.00,100.00,0.00,0.00,14.60,80.30,3.10,0.30,0.60
Eagle County,1,100.00,100.00,0.00,0.00,0.00,0.00,1.00,67.10,30.00,1.40,1.20
East Baton Rouge Parish County,13,81.82,100.00,0.00,0.00,0.00,0.00,46.20,45.70,3.90,0.30,3.30
East Feliciana Parish County,2,50.00,100.00,0.00,0.00,0.00,0.00,44.10,52.70,1.40,0.40,0.40
Eastland County,1,100.00,0.00,100.00,0.00,0.00,0.00,2.50,79.60,16.00,1.10,0.60
Eaton County,1,0.00,0.00,0.00,100.00,0.00,0.00,7.00,83.60,5.30,0.50,2.00
Eau Claire County,6,83.33,0.00,0.00,100.00,0.00,0.00,1.00,91.00,2.30,0.60,3.80
Ector County,11,100.00,0.00,40.00,60.00,0.00,0.00,4.90,36.00,57.50,1.40,1.10
Eddy County,5,100.00,0.00,50.00,50.00,0.00,0.00,1.90,49.60,46.40,2.40,0.80
Edgecombe County,2,100.00,50.00,50.00,0.00,0.00,0.00,57.70,37.00,4.20,0.70,0.30
Effingham County,2,100.00,0.00,0.00,100.00,0.00,0.00,14.00,79.60,3.70,0.40,0.90
El Dorado County,2,50.00,50.00,0.00,50.00,0.00,0.00,1.00,78.70,12.70,1.30,4.00
El Paso County,20,100.00,15.00,20.00,65.00,0.00,0.00,7.00,70.30,16.30,1.30,3.00
El Paso County,20,94.74,13.33,53.33,33.33,0.00,0.00,4.00,13.30,81.20,1.00,1.30
Elbert County,1,0.00,0.00,100.00,0.00,0.00,0.00,29.40,63.70,5.50,0.40,0.90
Elkhart County,3,100.00,66.67,33.33,0.00,0.00,0.00,6.20,75.90,15.10,0.60,1.20
Elko County,3,100.00,0.00,0.00,100.00,0.00,0.00,1.50,67.10,24.20,6.10,1.10
Ellis County,2,0.00,0.00,0.00,100.00,0.00,0.00,1.00,90.30,5.70,0.40,1.40
Ellis County,3,100.00,33.33,33.33,33.33,0.00,0.00,9.70,63.40,25.10,0.80,0.70
Elmore County,3,100.00,100.00,0.00,0.00,0.00,0.00,21.20,73.70,2.70,0.40,0.70
Elmore County,3,100.00,0.00,0.00,100.00,0.00,0.00,3.20,74.10,16.20,1.60,2.80
Emery County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.50,91.40,6.30,0.90,0.50
Emporia County,1,100.00,100.00,0.00,0.00,0.00,0.00,63.70,29.20,5.50,0.50,1.20
Erie County,4,100.00,25.00,50.00,25.00,0.00,0.00,13.90,76.40,5.10,0.70,3.20
Erie County,2,100.00,0.00,0.00,100.00,0.00,0.00,7.60,85.50,3.80,0.30,1.40
Escambia County,1,100.00,100.00,0.00,0.00,0.00,0.00,32.40,60.60,2.10,3.40,0.30
Escambia County,8,100.00,80.00,0.00,20.00,0.00,0.00,22.80,65.50,5.50,0.90,3.10
Essex County,7,100.00,14.29,14.29,71.43,0.00,0.00,6.30,73.30,18.60,0.80,3.80
Essex County,12,100.00,100.00,0.00,0.00,0.00,0.00,41.90,32.20,22.10,0.70,5.30
Etowah County,2,100.00,0.00,0.00,100.00,0.00,0.00,15.50,78.40,3.70,0.50,0.80
Evangeline Parish County,2,50.00,50.00,0.00,50.00,0.00,0.00,28.40,67.70,2.50,0.40,0.50
Evans County,1,100.00,100.00,0.00,0.00,0.00,0.00,31.20,56.20,12.00,0.60,1.20
Fairfax County,2,50.00,0.00,0.00,50.00,0.00,50.00,9.90,52.14,16.40,0.70,19.15
Fairfield County,5,100.00,20.00,20.00,60.00,0.00,0.00,12.20,63.80,18.70,0.50,5.50
Fairfield County,1,100.00,0.00,0.00,100.00,0.00,0.00,7.10,87.60,2.10,0.20,1.30
Falls Church County,1,100.00,0.00,100.00,0.00,0.00,0.00,5.30,72.30,9.50,0.50,9.30
Fayette County,3,100.00,33.33,0.00,66.67,0.00,0.00,22.00,65.00,7.10,0.40,4.50
Fayette County,2,100.00,50.00,0.00,50.00,0.00,0.00,2.50,93.20,1.90,0.30,0.70
Fayette County,2,100.00,0.00,0.00,100.00,0.00,0.00,4.80,92.30,1.10,0.20,0.40
Fayette County,3,100.00,33.33,0.00,66.67,0.00,0.00,27.50,68.40,2.50,0.30,0.60
Fayette County,2,100.00,0.00,0.00,100.00,0.00,0.00,4.70,92.50,1.10,0.30,0.20
Fentress County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.40,96.90,1.30,0.30,0.30
Fergus County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.50,93.90,2.40,1.40,0.30
Fillmore County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.40,97.20,1.20,0.20,0.50
Finney County,1,100.00,0.00,100.00,0.00,0.00,0.00,3.30,43.70,48.20,1.40,4.30
Flathead County,3,100.00,0.00,0.00,100.00,0.00,0.00,0.40,93.00,2.70,1.40,0.70
Florence County,4,100.00,75.00,0.00,25.00,0.00,0.00,42.20,52.90,2.40,0.40,1.50
Floyd County,2,100.00,0.00,0.00,100.00,0.00,0.00,14.80,72.30,10.30,0.80,1.40
Floyd County,1,100.00,0.00,0.00,100.00,0.00,0.00,5.50,88.70,2.90,0.30,1.10
Foard County,1,0.00,0.00,0.00,100.00,0.00,0.00,5.30,74.20,18.70,0.40,0.80
Fond du Lac County,1,100.00,0.00,0.00,100.00,0.00,0.00,1.60,90.80,4.90,0.60,1.30
Forest County,2,50.00,0.00,0.00,50.00,50.00,0.00,1.00,80.50,2.00,14.30,0.30
Forrest County,4,75.00,75.00,0.00,25.00,0.00,0.00,37.00,57.50,3.20,0.40,1.10
Forsyth County,3,100.00,0.00,0.00,100.00,0.00,0.00,3.50,76.40,9.70,0.50,9.10
Forsyth County,2,100.00,100.00,0.00,0.00,0.00,0.00,27.10,57.70,12.60,0.80,2.30
Fort Bend County,5,100.00,60.00,0.00,40.00,0.00,0.00,21.10,35.10,24.00,0.60,19.00
Franklin Parish County,1,0.00,0.00,0.00,100.00,0.00,0.00,32.00,65.50,1.40,0.30,0.30
Franklin County,2,100.00,0.00,0.00,100.00,0.00,0.00,0.90,92.50,3.00,1.30,0.90
Franklin County,1,100.00,0.00,0.00,0.00,0.00,0.00,9.60,83.80,4.30,0.30,0.90
Franklin County,1,100.00,0.00,100.00,0.00,0.00,0.00,0.30,91.10,6.90,0.80,0.20
Franklin County,1,100.00,0.00,100.00,0.00,0.00,0.00,0.50,96.10,1.60,0.40,0.40
Franklin County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.40,97.10,1.10,0.20,0.60
Franklin County,2,100.00,0.00,0.00,100.00,0.00,0.00,1.00,95.30,1.70,0.40,0.50
Franklin County,1,100.00,0.00,0.00,100.00,0.00,0.00,26.80,63.50,8.00,0.90,0.60
Franklin County,1,100.00,0.00,0.00,100.00,0.00,0.00,6.40,81.60,3.30,7.80,0.50
Franklin County,37,94.44,66.67,0.00,30.56,0.00,0.00,22.20,65.70,5.10,0.30,4.60
Franklin County,1,100.00,0.00,0.00,0.00,0.00,0.00,3.90,89.00,5.00,0.30,1.10
Franklin County,3,100.00,0.00,0.00,100.00,0.00,0.00,5.20,89.20,2.80,0.40,0.90
Franklin County,4,75.00,25.00,75.00,0.00,0.00,0.00,2.80,42.10,51.90,1.40,2.10
Frederick County,3,100.00,33.33,33.33,33.33,0.00,0.00,9.40,75.70,8.40,0.50,4.50
Fredericksburg County,1,0.00,0.00,0.00,100.00,0.00,0.00,24.10,60.00,10.90,0.80,3.00
Freeborn County,1,100.00,0.00,0.00,100.00,0.00,0.00,1.10,87.00,9.50,0.40,1.30
Freestone County,2,0.00,0.00,100.00,0.00,0.00,0.00,16.50,67.30,14.80,1.40,0.80
Fremont County,1,100.00,0.00,0.00,0.00,100.00,0.00,0.70,70.30,6.70,21.20,0.60
Fresno County,27,88.46,3.70,59.26,33.33,0.00,3.70,5.90,30.90,51.90,3.00,10.70
Frio County,1,100.00,0.00,100.00,0.00,0.00,0.00,3.90,16.20,77.80,0.90,2.30
Fulton County,31,87.10,83.87,9.68,3.23,0.00,3.23,44.30,40.50,7.60,0.30,6.70
Fulton County,1,100.00,0.00,0.00,100.00,0.00,0.00,3.90,92.20,2.70,0.60,0.40
Fulton County,1,100.00,0.00,0.00,100.00,0.00,0.00,24.30,71.30,1.50,0.40,0.80
Fulton County,1,100.00,0.00,0.00,100.00,0.00,0.00,2.00,93.30,2.80,0.20,0.70
Fulton County,1,100.00,0.00,0.00,100.00,0.00,0.00,1.20,96.40,1.20,0.20,0.10
Gadsden County,1,0.00,0.00,0.00,0.00,0.00,0.00,55.20,33.20,10.50,0.60,0.70
Gaines County,1,100.00,0.00,0.00,100.00,0.00,0.00,2.20,57.40,39.50,1.10,0.50
Gallatin County,2,100.00,0.00,0.00,100.00,0.00,0.00,0.40,92.40,3.10,1.00,1.40
Galveston County,10,90.00,10.00,20.00,70.00,0.00,0.00,13.60,58.10,23.70,0.80,3.40
Garfield County,3,100.00,0.00,0.00,100.00,0.00,0.00,1.20,68.80,28.10,1.80,0.80
Garfield County,1,100.00,0.00,0.00,100.00,0.00,0.00,3.40,76.30,11.40,3.10,1.40
Garland County,1,100.00,0.00,0.00,100.00,0.00,0.00,8.50,82.90,5.30,0.70,0.80
Garrard County,1,100.00,0.00,0.00,100.00,0.00,0.00,2.20,94.10,2.30,0.20,0.30
Gaston County,7,100.00,28.57,0.00,71.43,0.00,0.00,16.10,74.60,6.40,0.50,1.40
Geary County,1,100.00,0.00,0.00,100.00,0.00,0.00,18.80,58.10,15.00,1.40,3.50
Genesee County,3,100.00,66.67,0.00,33.33,0.00,0.00,20.60,72.60,3.20,0.60,1.10
Genesee County,1,100.00,0.00,0.00,100.00,0.00,0.00,3.20,90.90,3.00,1.20,0.70
George County,1,0.00,0.00,0.00,100.00,0.00,0.00,8.50,87.80,2.20,0.40,0.30
Gibson County,1,100.00,0.00,0.00,100.00,0.00,0.00,2.10,94.10,1.60,0.30,0.40
Gibson County,2,100.00,0.00,0.00,100.00,0.00,0.00,18.60,77.30,2.50,0.30,0.30
Gila County,2,100.00,0.00,0.00,100.00,0.00,0.00,0.90,63.20,18.80,16.50,0.80
Giles County,1,100.00,0.00,0.00,100.00,0.00,0.00,1.60,95.20,1.60,0.20,0.50
Gladwin County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.50,96.50,1.30,0.60,0.30
Gloucester County,2,100.00,100.00,0.00,0.00,0.00,0.00,10.80,79.40,5.70,0.20,3.00
Glynn County,1,100.00,100.00,0.00,0.00,0.00,0.00,26.50,64.10,6.50,0.50,1.50
Gonzales County,1,100.00,100.00,0.00,0.00,0.00,0.00,7.60,42.90,49.40,1.70,0.50
Goochland County,1,100.00,100.00,0.00,0.00,0.00,0.00,17.70,77.30,2.40,0.30,1.30
Gooding County,2,100.00,0.00,0.00,100.00,0.00,0.00,0.50,68.60,28.60,1.80,0.90
Gordon County,1,100.00,100.00,0.00,0.00,0.00,0.00,4.40,78.20,15.20,0.60,1.10
Grady County,5,80.00,0.00,25.00,75.00,0.00,0.00,2.60,82.10,5.30,6.00,0.50
Grafton County,3,50.00,0.00,0.00,100.00,0.00,0.00,1.10,91.20,2.20,0.40,3.50
Graham County,1,100.00,0.00,0.00,100.00,0.00,0.00,2.10,51.40,32.10,14.00,0.70
Grand Forks County,2,100.00,0.00,0.00,50.00,50.00,0.00,3.50,85.70,3.80,2.80,2.30
Granite County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.40,94.60,2.10,0.70,0.30
Grant County,1,100.00,100.00,0.00,0.00,0.00,0.00,2.80,92.70,2.60,0.50,0.40
Grant County,1,100.00,0.00,0.00,100.00,0.00,0.00,7.30,85.60,4.00,0.40,0.80
Grant County,1,100.00,0.00,0.00,0.00,0.00,0.00,1.20,47.00,49.60,2.30,0.80
Grant County,1,100.00,0.00,100.00,0.00,0.00,0.00,1.80,55.70,39.90,2.10,1.10
Grant County,1,100.00,0.00,0.00,100.00,0.00,0.00,1.30,95.50,1.40,0.30,0.90
Grays Harbor County,2,100.00,0.00,0.00,100.00,0.00,0.00,1.40,79.80,9.80,5.40,1.50
Grayson County,3,100.00,0.00,0.00,100.00,0.00,0.00,1.20,95.90,1.40,0.30,0.30
Grayson County,3,100.00,33.33,0.00,66.67,0.00,0.00,6.20,76.80,12.60,1.80,1.20
Grayson County,2,100.00,0.00,0.00,100.00,0.00,0.00,2.30,93.40,3.00,0.20,0.20
Green County,1,100.00,0.00,100.00,0.00,0.00,0.00,0.60,94.60,2.90,0.30,0.70
Greene County,1,0.00,100.00,0.00,0.00,0.00,0.00,36.60,56.00,6.30,0.50,0.50
Greene County,12,90.91,9.09,0.00,90.91,0.00,0.00,3.20,88.40,3.50,0.70,1.90
Greene County,1,100.00,0.00,0.00,100.00,0.00,0.00,7.30,84.40,2.70,0.30,3.10
Greene County,3,100.00,33.33,0.00,66.67,0.00,0.00,2.20,93.20,2.80,0.30,0.50
Greenlee County,1,100.00,0.00,0.00,100.00,0.00,0.00,1.80,47.80,46.60,3.30,0.80
Greenup County,2,50.00,0.00,0.00,100.00,0.00,0.00,1.00,96.20,1.10,0.30,0.50
Greenville County,13,100.00,38.46,0.00,61.54,0.00,0.00,18.50,69.30,8.80,0.50,2.20
Greenwood County,1,100.00,100.00,0.00,0.00,0.00,0.00,32.10,60.40,5.80,0.50,1.00
Gregg County,6,66.67,33.33,0.00,66.67,0.00,0.00,20.50,58.80,18.00,1.00,1.30
Grenada County,1,100.00,0.00,0.00,100.00,0.00,0.00,42.40,55.20,1.20,0.20,0.40
Guadalupe County,4,75.00,0.00,25.00,75.00,0.00,0.00,7.90,52.20,37.00,1.00,1.70
Guernsey County,1,100.00,0.00,0.00,100.00,0.00,0.00,1.60,94.90,1.00,0.30,0.30
Guilford County,8,100.00,57.14,0.00,42.86,0.00,0.00,34.00,52.30,7.60,0.70,4.60
Gulf County,1,100.00,0.00,0.00,100.00,0.00,0.00,19.10,73.40,5.00,0.50,0.60
Gunnison County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.50,87.50,9.30,2.50,0.70
Guthrie County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.30,95.80,2.30,0.30,0.40
Gwinnett County,8,100.00,71.43,0.00,28.57,0.00,0.00,27.00,40.60,20.50,0.80,11.50
Habersham County,1,100.00,0.00,0.00,100.00,0.00,0.00,4.00,78.70,13.60,1.00,2.50
Hale County,1,100.00,0.00,100.00,0.00,0.00,0.00,5.90,35.20,58.20,1.70,0.60
Hall County,6,83.33,0.00,60.00,40.00,0.00,0.00,8.10,61.90,27.50,0.90,2.00
Hall County,2,100.00,0.00,100.00,0.00,0.00,0.00,2.70,69.40,25.90,1.60,1.30
Hamblen County,4,100.00,0.00,0.00,100.00,0.00,0.00,4.50,82.40,10.90,0.80,1.00
Hamilton County,1,100.00,100.00,0.00,0.00,0.00,0.00,0.80,90.60,5.40,0.40,2.10
Hamilton County,3,100.00,0.00,33.33,66.67,0.00,0.00,4.10,84.90,3.80,0.20,5.60
Hamilton County,1,100.00,0.00,0.00,100.00,0.00,0.00,1.00,95.60,1.40,0.30,0.50
Hamilton County,8,100.00,85.71,0.00,14.29,0.00,0.00,26.10,66.70,2.90,0.20,2.40
Hamilton County,17,94.12,6.67,6.67,80.00,0.00,0.00,19.80,71.50,5.10,0.50,2.10
Hampden County,1,100.00,0.00,0.00,100.00,0.00,0.00,10.70,65.00,23.20,0.80,2.40
Hampshire County,1,100.00,0.00,0.00,100.00,0.00,0.00,1.30,95.90,1.30,0.20,0.30
Hampton County,1,0.00,100.00,0.00,0.00,0.00,0.00,49.80,40.10,5.30,0.50,2.40
Hancock County,1,100.00,0.00,0.00,100.00,0.00,0.00,8.40,84.70,3.60,0.60,1.10
Hancock County,1,0.00,0.00,0.00,100.00,0.00,0.00,1.80,90.00,5.00,0.30,1.80
Hancock County,1,100.00,100.00,0.00,0.00,0.00,0.00,2.60,94.50,1.20,0.10,0.30
Haralson County,1,100.00,100.00,0.00,0.00,0.00,0.00,5.10,91.10,1.40,0.40,0.70
Hardeman County,1,100.00,0.00,0.00,100.00,0.00,0.00,6.10,68.90,22.80,1.00,0.70
Hardin County,3,100.00,33.33,0.00,66.67,0.00,0.00,12.80,76.20,5.70,0.50,2.20
Hardin County,1,100.00,0.00,0.00,100.00,0.00,0.00,3.70,92.10,2.00,0.40,0.60
Hardin County,2,100.00,0.00,0.00,100.00,0.00,0.00,5.70,86.80,5.60,0.50,0.70
Harford County,3,66.67,0.00,0.00,100.00,0.00,0.00,13.40,77.40,4.20,0.30,3.00
Harlan County,1,100.00,0.00,0.00,100.00,0.00,0.00,2.30,95.10,0.80,0.20,0.30
Harney County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.50,87.80,4.90,3.90,0.40
Harris County,85,93.75,44.29,32.86,20.00,0.00,2.86,19.50,31.40,41.80,1.10,7.00
Harrison County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.60,96.00,1.80,0.30,0.40
Harrison County,11,88.89,40.00,0.00,60.00,0.00,0.00,24.00,65.30,5.40,0.50,3.00
Harrison County,1,100.00,100.00,0.00,0.00,0.00,0.00,22.50,63.20,12.30,1.20,0.70
Harrison County,4,100.00,25.00,0.00,75.00,0.00,0.00,1.70,94.30,1.60,0.20,0.60
Harrisonburg County,2,100.00,0.00,0.00,100.00,0.00,0.00,8.40,68.10,18.60,0.70,4.00
